 
****************************************
Report : timing
        -path end
        -delay max
Design : FPAddSub_reduced
Version: K-2015.06-SP4
Date   : Tue Jul  7 21:20:10 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
pipe_2_reg[0]/D (DFFPOSX1)          0.29 r        infinity     infinity
pipe_2_reg[17]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[18]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[19]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[20]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[21]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[30]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[31]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[32]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[33]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[34]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[35]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[36]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[37]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[38]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[46]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[47]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[48]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[49]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[16]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[17]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[18]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[19]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[20]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[21]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[22]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[23]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[24]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[25]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[26]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[27]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[28]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[29]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[30]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[31]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[32]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[33]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[34]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[35]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[36]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[37]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[38]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[39]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[40]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[41]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[42]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[43]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[44]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[45]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_3_reg[6]/D (DFFPOSX1)          0.27 r        infinity     infinity
pipe_3_reg[8]/D (DFFPOSX1)          0.27 r        infinity     infinity
pipe_3_reg[7]/D (DFFPOSX1)          0.27 r        infinity     infinity
pipe_3_reg[5]/D (DFFPOSX1)          0.27 r        infinity     infinity
pipe_2_reg[50]/D (DFFPOSX1)         0.27 r        infinity     infinity
pipe_2_reg[51]/D (DFFPOSX1)         0.27 r        infinity     infinity
pipe_2_reg[52]/D (DFFPOSX1)         0.27 r        infinity     infinity
pipe_2_reg[53]/D (DFFPOSX1)         0.27 r        infinity     infinity
