 
****************************************
Report : timing
        -path end
        -delay max
Design : FPMult_reduced
Version: K-2015.06-SP4
Date   : Tue Jul  7 21:12:40 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
pipe_2_reg[25]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[24]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[19]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[17]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[4]/D (DFFPOSX1)          0.23 r        infinity     infinity
pipe_2_reg[3]/D (DFFPOSX1)          0.23 r        infinity     infinity
pipe_2_reg[2]/D (DFFPOSX1)          0.23 r        infinity     infinity
pipe_2_reg[1]/D (DFFPOSX1)          0.23 r        infinity     infinity
pipe_2_reg[0]/D (DFFPOSX1)          0.23 r        infinity     infinity
pipe_1_reg[110]/D (DFFPOSX1)        0.06 f        infinity     infinity
pipe_1_reg[109]/D (DFFPOSX1)        0.06 f        infinity     infinity
pipe_1_reg[108]/D (DFFPOSX1)        0.06 f        infinity     infinity
pipe_1_reg[107]/D (DFFPOSX1)        0.06 f        infinity     infinity
pipe_1_reg[106]/D (DFFPOSX1)        0.06 f        infinity     infinity
pipe_1_reg[105]/D (DFFPOSX1)        0.06 f        infinity     infinity
pipe_1_reg[104]/D (DFFPOSX1)        0.06 f        infinity     infinity
pipe_1_reg[103]/D (DFFPOSX1)        0.06 f        infinity     infinity
pipe_1_reg[102]/D (DFFPOSX1)        0.06 f        infinity     infinity
pipe_1_reg[101]/D (DFFPOSX1)        0.06 f        infinity     infinity
pipe_1_reg[100]/D (DFFPOSX1)        0.06 f        infinity     infinity
pipe_1_reg[99]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[98]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[97]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[96]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[95]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[94]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[93]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[92]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[91]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[90]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[89]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[88]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[87]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[86]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[85]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[84]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[83]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[82]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[81]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[80]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[79]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[78]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[77]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[76]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[75]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[74]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[73]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[72]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[71]/D (DFFPOSX1)         0.06 f        infinity     infinity
pipe_1_reg[110]/CLK (DFFPOSX1)      0.00 r        infinity     infinity
pipe_1_reg[109]/CLK (DFFPOSX1)      0.00 r        infinity     infinity
pipe_1_reg[108]/CLK (DFFPOSX1)      0.00 r        infinity     infinity
pipe_1_reg[107]/CLK (DFFPOSX1)      0.00 r        infinity     infinity
pipe_1_reg[106]/CLK (DFFPOSX1)      0.00 r        infinity     infinity
pipe_1_reg[105]/CLK (DFFPOSX1)      0.00 r        infinity     infinity
pipe_1_reg[104]/CLK (DFFPOSX1)      0.00 r        infinity     infinity
pipe_1_reg[103]/CLK (DFFPOSX1)      0.00 r        infinity     infinity
pipe_1_reg[102]/CLK (DFFPOSX1)      0.00 r        infinity     infinity
pipe_1_reg[101]/CLK (DFFPOSX1)      0.00 r        infinity     infinity
pipe_1_reg[100]/CLK (DFFPOSX1)      0.00 r        infinity     infinity
pipe_1_reg[99]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[98]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[97]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[96]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[95]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[94]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[93]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[92]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[91]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[90]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[89]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[88]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[87]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[86]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[85]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[84]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[83]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[82]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[81]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[80]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[79]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[78]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[77]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[76]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[75]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[74]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[73]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[72]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[71]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[70]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[69]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[68]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[67]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[66]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[65]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[64]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[63]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[62]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[61]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[60]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[59]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[58]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[57]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[56]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[55]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[54]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[53]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[35]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[34]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[33]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[32]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[31]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[30]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[29]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[28]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[27]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[26]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[25]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[24]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[23]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[22]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[21]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_1_reg[20]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
